feature_name,feature_idx,importance,std
action,1,104.6239489742325,12.786081773032516
probability,0,102.30065948410638,5.63213701987915
atr,8,84.86628204644818,4.099835106991715
atr_ratio,9,73.9669447074771,5.755471820966909
mse,5,45.97669409809523,6.033566187039534
rsi,7,33.17815790663851,5.250360644882673
change_noncommercial_long,16,22.519060791307016,3.6922419947084575
max_drawdown,28,18.254645335580857,4.075423498630011
max_gain,3,16.68121837140982,6.670439061216121
day_sin,20,14.563464579730795,1.0862934934380772
expected_value,6,14.512386932484413,1.3642587578004786
hour_sin,18,13.066847977552106,5.682779919078182
asian_session,22,11.860344032295075,3.2750045557126564
change_noncommercial_short,17,8.554914487930239,5.253882751556558
reward_risk_ratio,2,7.452664437781721,3.781996572783318
change_nonrept_long,14,6.621995132750612,2.1510023896327426
hour_cos,19,6.491543732748835,4.291349244919454
day_cos,21,6.163417857267779,3.4944841986355306
unified_sentiment,10,4.962075025296519,4.514551954210326
net_nonreportable,13,4.175226063612342,4.9251628076425735
win_rate,29,2.9876927370745308,4.414964620389385
london_session,23,2.6974224132677818,2.5460969163122242
change_nonrept_short,15,2.3206035533332057,3.7505913106925695
position,27,1.0492221870381173,1.1751467380756562
max_drawdown,4,-1.8291931596928634,1.2696565975090712
net_noncommercial,12,-2.096893039465942,5.743711280631392
ny_session,24,-4.991981477873776,3.793242479751449
sentiment_count,11,-12.805254286187232,5.0890139480373024
steps_without_action,30,-16.028743417506906,3.1643583940997235
position_ratio,26,-22.767831525658163,2.094367990918088
balance_ratio,25,-24.689906597451625,4.57152296048117
